date_,store,department,item,unit_price,quantity,on_promotion,promotion_type
20120102,315,1,95470,10,,N,0
20120102,315,1,507566,10,,N,0
20120102,315,1,593171,10,,N,0
20120102,315,2,22631,12.84,,N,0
20120102,315,2,404470,12.54,,N,0
20120102,315,2,423218,14.91,,N,0
20120102,315,2,451332,29.82,,N,0
20120102,315,2,482591,23.94,,N,0
20120102,315,2,533283,6,,N,0
20120102,315,2,558749,44.94,,N,0
20120102,315,2,568499,3.75,,N,0
20120102,315,2,570153,11.91,,N,0
20120102,315,2,577654,25.41,,N,0
20120102,315,2,586937,3,,N,0
20120102,315,2,592729,11.31,,N,0
20120102,315,3,3683,1.76,,Y,5
20120102,315,3,20376,7.54,,N,0
20120102,315,3,90263,11.94,,Y,6
20120102,315,3,92418,2.34,,N,0
20120102,315,3,92433,2.34,,N,0
20120102,315,3,108037,3.98,,N,0
20120102,315,3,153171,8,,N,0
20120102,315,3,194781,7.34,,Y,5
20120102,315,3,228016,11.94,,N,0
20120102,315,3,280116,6.94,,N,0
20120102,315,3,417014,4,,N,0
20120102,315,3,456076,4,,Y,5
20120102,315,3,496031,17.94,,Y,6
20120102,315,3,515246,4.94,,N,0
20120102,315,3,573599,4.54,,N,0
20120102,315,3,573607,4.54,,N,0
20120102,315,3,573609,4.54,,N,0
20120102,315,3,587131,5.54,,N,0
20120102,315,4,82660,4.45,,Y,6
20120102,315,4,82686,1.45,,N,0
20120102,315,4,82689,3.71,,N,0
20120102,315,4,82701,2.95,,N,0
20120102,315,4,183628,2.96,,N,0
20120102,315,4,255476,2.2,,N,0
20120102,315,4,255489,2.35,,Y,6
20120102,315,4,255494,1.45,,N,0
20120102,315,4,335757,3.7,,Y,5
20120102,315,4,345376,3.38,,N,0
20120102,315,4,407217,1.91,,Y,6
20120102,315,4,409559,3.7,,N,0
20120102,315,4,411406,5.96,,N,0
20120102,315,4,431714,2.66,,N,0
20120102,315,4,455721,4.46,,Y,6
20120102,315,4,467757,7.45,,N,0
20120102,315,4,489718,5.96,,N,0
20120102,315,4,501396,3.7,,Y,5
20120102,315,4,530037,5.95,,N,0
20120102,315,4,532196,2.66,,N,0
20120102,315,4,536428,5.95,,N,0
20120102,315,4,555947,5.96,,N,0
20120102,326,1,466877,12,,N,0
20120102,326,1,466879,12,,N,0
20120102,326,1,478896,12,,N,0
20120102,326,1,507566,10,,N,0
20120102,326,1,542781,12,,N,0
20120102,326,1,593171,10,,N,0
20120102,326,2,22631,12.84,,N,0
20120102,326,2,423218,14.91,,Y,6
20120102,326,2,487331,9,,N,0
20120102,326,2,487334,9,,N,0
20120102,326,2,516965,14.91,,Y,6
20120102,326,2,517989,18,,N,0
20120102,326,2,533283,6,,N,0
20120102,326,2,540535,6,,N,0
20120102,326,2,568499,3,,Y,6
20120102,326,2,570153,11.91,,N,0
20120102,326,2,592729,11.31,,N,0
20120102,326,3,3683,1.76,,Y,5
20120102,326,3,20376,7.54,,N,0
20120102,326,3,36907,7.94,,N,0
20120102,326,3,92418,2.34,,N,0
20120102,326,3,153171,8,,N,0
20120102,326,3,194771,3.94,,N,0
20120102,326,3,194781,7.34,,Y,5
20120102,326,3,346126,21.94,,N,0
20120102,326,3,417014,4,,N,0
20120102,326,3,447058,11.98,,Y,6
20120102,326,3,456076,4,,Y,5
20120102,326,3,471651,9.94,,N,0
20120102,326,3,573599,4.54,,N,0
20120102,326,3,573602,4.54,,N,0
20120102,326,3,573607,4.54,,N,0
20120102,326,3,573609,4.54,,N,0
20120102,326,3,587131,5.54,,N,0
